CompoundNameForSearch,Compound,MolecularFormula,MonoisotopicMW,[M+H]+,[M+Na]+,[M+K]+,[2M+H]+,[2M+Na]+,[2M+K]+,"ChemSpider ID, PubChem CID or source"
(-)-XylariamideA,(-)-Xylariamide A,C14H14ClNO6,327.0509614,328.0582374,350.0401794,366.0141194,655.1091988,677.0911408,693.0650808,9465348
(+)-Phomalactone,(+)-Phomalactone,C8H10O3,154.062991,155.070267,177.052209,193.026149,309.133258,331.1152,347.08914,6475274
"(2E,4S)-2,4-Dimethyloct-2-enoicacid","(2E,4S)-2,4-Dimethyloct-2-enoic acid",C10H18O2,170.1306728,171.1379488,193.1198908,209.0938308,341.2686216,363.2505636,379.2245036,170.130676
"(2-Isopropenyl-2,3-dihydrobenzofuran-5-yl)methanol","(2-Isopropenyl-2,3-dihydrobenzofuran-5-yl)methanol",C12H14O2,190.0993744,191.1066504,213.0885924,229.0625324,381.2060248,403.1879668,419.1619068,10397650
(S)-Torosachrysone8-O-methylether,(S)-Torosachrysone 8-O-methyl ether,C17H18O5,302.1154178,303.1226938,325.1046358,341.0785758,605.2381116,627.2200536,643.1939936,100940270
"1-(2,4-Dihydroxyphenyl)ethanone","1-(2,4-Dihydroxyphenyl)ethanone",C8H8O3,152.0473418,153.0546178,175.0365598,191.0104998,305.1019596,327.0839016,343.0578416,640096
10-Hydroxycamptothecin,10-Hydroxycamptothecin,C20H16N2O5,364.1059166,365.1131926,387.0951346,403.0690746,729.2191092,751.2010512,767.1749912,97226
"18-Deoxy-19,20-epoxycytochalasinQ","18-Deoxy-19,20-epoxycytochalasin Q",C30H37NO6,507.2620742,508.2693502,530.2512922,546.2252322,1015.531424,1037.513366,1053.487306,101705365
"18-Deoxy-19,20-epoxycytochalasinR","18-Deoxy-19,20-epoxycytochalasin R",C30H37NO7,523.2569892,524.2642652,546.2462072,562.2201472,1047.521254,1069.503196,1085.477136,101705363
"19,20-EpoxycytochalasinC","19,20-Epoxycytochalasin C",C30H37NO7 ,523.2569892,524.2642652,546.2462072,562.2201472,1047.521254,1069.503196,1085.477136,126456219
"19,20-EpoxycytochalasinD","19,20-Epoxycytochalasin D",C30H37NO7,523.2569892,524.2642652,546.2462072,562.2201472,1047.521254,1069.503196,1085.477136,129627390
"19,20-EpoxycytochalasinN","19,20-Epoxycytochalasin N",C30H37NO8,539.2519042,540.2591802,562.2411222,578.2150622,1079.511084,1101.493026,1117.466966,101705366
"19,20-EpoxycytochalasinQ","19,20-Epoxycytochalasin Q",C30H37NO7,523.2569892,524.2642652,546.2462072,562.2201472,1047.521254,1069.503196,1085.477136,6479878
"19,20-EpoxycytochalasinR","19,20-Epoxycytochalasin R",C30H37NO8 ,539.2519042,540.2591802,562.2411222,578.2150622,1079.511084,1101.493026,1117.466966,101705362
"2,3-Didehydrotelfairicanhydride","2,3-Didehydrotelfairic anhydride",C12H12O5,236.0684702,237.0757462,259.0576882,275.0316282,473.1442164,495.1261584,511.1000984,101993081
"2,3-dihydro,2,4-dimethylbenzofuran-7-carboxylicacid","2,3-dihydro,2,4- dimethylbenzofuran-7- carboxylic acid",C11H12O3,192.0786402,193.0859162,215.0678582,231.0417982,385.1645564,407.1464984,423.1204384,https://doi.org/10.1038/s41598-020-61088-x
"2,3-Dihydro-5-hydroxy-2-methyl-4H-1-benzopyran-4-one","2,3-Dihydro-5-hydroxy-2-methyl-4H-1-benzopyran-4-one",C10H10O3,178.062991,179.070267,201.052209,217.026149,357.133258,379.1152,395.08914,10407539
21-O-DeacetylcytochalasinQ,21-O-Deacetylcytochalasin Q,C30H37NO7 ,523.2569892,524.2642652,546.2462072,562.2201472,1047.521254,1069.503196,1085.477136,6479878
4-Hydroxymellein,4-Hydroxymellein,C10H10O4,194.057906,195.065182,217.047124,233.021064,389.123088,411.10503,427.07897,26608702
5-(1-Hydroxybutyl)-6-(hydroxymethyl)-2H-pyran-2-one,5-(1-Hydroxybutyl)-6-(hydroxymethyl)-2H-pyran-2-one,C10H14O4,198.0892044,199.0964804,221.0784224,237.0523624,397.1856848,419.1676268,435.1415668,71438810
5-Carboxymellein,5-(Hydroxymethyl)mellein,C11H10O5,222.052821,223.060097,245.042039,261.015979,445.112918,467.09486,483.0688,486250
5-Hydroxymellein,5-Carboxymellein,C10H10O4,194.057906,195.065182,217.047124,233.021064,389.123088,411.10503,427.07897,28283327
6-[(1R)-1-Hydroxypentyl]-4-methoxy-2H-pyran-2-one,5-Hydroxymellein,C11H16O4,212.1048536,213.1121296,235.0940716,251.0680116,425.2169832,447.1989252,463.1728652,23872095
7-Amino-4-methylcoumarin,7-Amino-4-methylcoumarin,C10H9NO2,175.0633254,176.0706014,198.0525434,214.0264834,351.1339268,373.1158688,389.0898088,92249
7-Dechlorogriseofulvin,7-Dechlorogriseofulvin,C17H18O6,318.1103328,319.1176088,341.0995508,357.0734908,637.2279416,659.2098836,675.1838236,24066885
Blazein,Blazein,C29H48O3 ,444.3603258,445.3676018,467.3495438,483.3234838,889.7279276,911.7098696,927.6838096,14159790
Cerevisterol,Cerevisterol,C28H46O3,430.3446766,431.3519526,453.3338946,469.3078346,861.6966292,883.6785712,899.6525112,10181133
Chlorineheptelidicacid,Chlorine heptelidic acid,C15H21O5Cl,316.1077446,317.1150206,339.0969626,355.0709026,633.2227652,655.2047072,671.1786472,DOI: 10.7164/antibiotics.47.1562
ColoratinA,Coloratin A,C20H22O7,374.1365462,375.1438222,397.1257642,413.0997042,749.2803684,771.2623104,787.2362504,91565207
ColorationB,Coloration B,C11H12O6,240.0633852,241.0706612,263.0526032,279.0265432,481.1340464,503.1159884,519.0899284,https://doi.org/10.1080/14786410600650354
Cyclicpentapeptide1,Cyclic pentapeptide 1,C32H49N5O5,583.3733504,584.3806264,606.3625684,622.3365084,1167.753977,1189.735919,1205.709859,https://doi.org/10.1038/s41598-020-61088-x
Cyclicpentapeptide2,Cyclic pentapeptide 2,C28H49N5O5,535.3733504,536.3806264,558.3625684,574.3365084,1071.753977,1093.735919,1109.709859,https://doi.org/10.1038/s41598-020-61088-x
Cyclo(l-Pro-l-Tyr),Cyclo(l-Pro-l-Tyr),C14H16N2O3,260.1160866,261.1233626,283.1053046,299.0792446,521.2394492,543.2213912,559.1953312,119404
Cyclo(l-Val-d-Ile-l-Leu-l-Pro-d-Leu),Cyclo(l-Val-d-Ile-l-Leu-l-Pro-d-Leu),C28H49N5O5,535.3733504,536.3806264,558.3625684,574.3365084,1071.753977,1093.735919,1109.709859,53355999
Cyclo(N-methyl-l-Phe-l-Val-d-Ile-l-Leu-l-Pro),Cyclo(N-methyl-l-Phe-l-Val-d-Ile-l-Leu-l-Pro),C32H49N5O5,583.3733504,584.3806264,606.3625684,622.3365084,1167.753977,1189.735919,1205.709859,53355998
CytochalasinA,Cytochalasin A,C29H35NO5 ,477.25151,478.258786,500.240728,516.214668,955.510296,977.492238,993.466178,5458383
CytochalasinB,Cytochalasin B,C29H37NO5 ,479.2671592,480.2744352,502.2563772,518.2303172,959.5415944,981.5235364,997.4974764,5311281
CytochalasinC,Cytochalasin C,C30H37NO6,507.2620879,508.2693639,530.2513059,546.2252459,1015.531452,1037.513394,1053.487334,2926
CytochalasinD,Cytochalasin D,C30H37NO6,507.2620742,508.2693502,530.2512922,546.2252322,1015.531424,1037.513366,1053.487306,4572382
